,province,date
618,Gyeonggi-do_Cdate,8
619,Gyeonggi-do_Cdate,45
620,Gyeonggi-do_Cdate,1
621,Gyeonggi-do_Cdate,1
622,Gyeonggi-do_Cdate,1
623,Gyeonggi-do_Cdate,2
624,Gyeonggi-do_Cdate,0
625,Gyeonggi-do_Cdate,6
626,Gyeonggi-do_Cdate,4
627,Gyeonggi-do_Cdate,3
628,Gyeonggi-do_Cdate,5
629,Gyeonggi-do_Cdate,3
630,Gyeonggi-do_Cdate,1
631,Gyeonggi-do_Cdate,1
632,Gyeonggi-do_Cdate,6
633,Gyeonggi-do_Cdate,4
634,Gyeonggi-do_Cdate,4
635,Gyeonggi-do_Cdate,4
636,Gyeonggi-do_Cdate,1
637,Gyeonggi-do_Cdate,8
638,Gyeonggi-do_Cdate,4
639,Gyeonggi-do_Cdate,1
640,Gyeonggi-do_Cdate,3
641,Gyeonggi-do_Cdate,1
642,Gyeonggi-do_Cdate,1
643,Gyeonggi-do_Cdate,3
644,Gyeonggi-do_Cdate,6
645,Gyeonggi-do_Cdate,6
646,Gyeonggi-do_Cdate,2
647,Gyeonggi-do_Cdate,3
648,Gyeonggi-do_Cdate,8
649,Gyeonggi-do_Cdate,5
650,Gyeonggi-do_Cdate,5
651,Gyeonggi-do_Cdate,5
652,Gyeonggi-do_Cdate,2
653,Gyeonggi-do_Cdate,3
654,Gyeonggi-do_Cdate,5
655,Gyeonggi-do_Cdate,5
656,Gyeonggi-do_Cdate,8
657,Gyeonggi-do_Cdate,2
658,Gyeonggi-do_Cdate,1
659,Gyeonggi-do_Cdate,6
660,Gyeonggi-do_Cdate,4
661,Gyeonggi-do_Cdate,2
662,Gyeonggi-do_Cdate,2
663,Gyeonggi-do_Cdate,8
664,Gyeonggi-do_Cdate,1
665,Gyeonggi-do_Cdate,13
666,Gyeonggi-do_Cdate,9
667,Gyeonggi-do_Cdate,12
668,Gyeonggi-do_Cdate,1
669,Gyeonggi-do_Cdate,0
670,Gyeonggi-do_Cdate,1
671,Gyeonggi-do_Cdate,2
672,Gyeonggi-do_Cdate,4
673,Gyeonggi-do_Cdate,9
674,Gyeonggi-do_Cdate,2
675,Gyeonggi-do_Cdate,5
676,Gyeonggi-do_Cdate,2
677,Gyeonggi-do_Cdate,1
678,Gyeonggi-do_Cdate,2
679,Gyeonggi-do_Cdate,1
680,Gyeonggi-do_Cdate,1
681,Gyeonggi-do_Cdate,2
682,Gyeonggi-do_Cdate,3
683,Gyeonggi-do_Cdate,3
684,Gyeonggi-do_Cdate,3
685,Gyeonggi-do_Cdate,1
686,Gyeonggi-do_Cdate,2
687,Gyeonggi-do_Cdate,7
688,Gyeonggi-do_Cdate,5
689,Gyeonggi-do_Cdate,3
690,Gyeonggi-do_Cdate,0
691,Gyeonggi-do_Cdate,1
692,Gyeonggi-do_Cdate,7
693,Gyeonggi-do_Cdate,1
694,Gyeonggi-do_Cdate,8
695,Gyeonggi-do_Cdate,7
696,Gyeonggi-do_Rdate,6
697,Gyeonggi-do_Rdate,22
698,Gyeonggi-do_Rdate,16
699,Gyeonggi-do_Rdate,17
700,Gyeonggi-do_Rdate,13
701,Gyeonggi-do_Rdate,17
702,Gyeonggi-do_Rdate,0
703,Gyeonggi-do_Rdate,15
704,Gyeonggi-do_Rdate,7
705,Gyeonggi-do_Rdate,26
706,Gyeonggi-do_Rdate,25
707,Gyeonggi-do_Rdate,15
708,Gyeonggi-do_Rdate,37
709,Gyeonggi-do_Rdate,10
710,Gyeonggi-do_Rdate,7
711,Gyeonggi-do_Rdate,30
712,Gyeonggi-do_Rdate,26
713,Gyeonggi-do_Rdate,20
714,Gyeonggi-do_Rdate,15
715,Gyeonggi-do_Rdate,11
716,Gyeonggi-do_Rdate,20
717,Gyeonggi-do_Rdate,10
718,Gyeonggi-do_Rdate,21
719,Gyeonggi-do_Rdate,15
720,Gyeonggi-do_Rdate,16
721,Gyeonggi-do_Rdate,16
722,Gyeonggi-do_Rdate,11
723,Gyeonggi-do_Rdate,19
724,Gyeonggi-do_Rdate,11
725,Gyeonggi-do_Rdate,23
726,Gyeonggi-do_Rdate,7
727,Gyeonggi-do_Rdate,16
